ID_values,Stranding_ID_Number,Sex,Straightline_Carapace_Length,Growth_Rate,Age,Year
204,Cm NME100109_090,Female,30.7,2.9,5,2007
205,Cm NME100109_090,Female,33.9,3.6,6,2008
206,Cm NME100109_090,Female,37.5,3.5,7,2009
207,Cm NME100109_092,Male,24.5,3.4,3,2006
208,Cm NME100109_092,Male,28.3,4.2,4,2007
209,Cm NME100109_092,Male,32.9,5.1,5,2008
210,Cm NME100109_092,Male,35.9,1,6,2009
211,Cm NME100109_118,Female,17.7,1.6,1,2008
212,Cm NME100109_118,Female,19.9,2.9,2,2009
213,Cm NME100109_120,Male,19.7,5.8,1,2007
214,Cm NME100109_120,Male,24.5,3.8,2,2008
215,Cm NME100109_120,Male,28.3,3.7,3,2009
216,Cm NME100109_121,Female,20.6,7.6,1,2008
217,Cm NME100109_121,Female,25.8,2.8,2,2009
218,Cm NME100109_124,Male,19.5,1.7,1,2006
219,Cm NME100109_124,Male,20.8,0.7,2,2007
220,Cm NME100109_124,Male,22.7,3.2,3,2008
221,Cm NME100109_124,Male,25.9,3.2,4,2009
222,Cm NME100109_129,Male,25.1,6.9,1,2008
223,Cm NME100109_129,Male,31.5,5.9,2,2009
224,Cm NME100109_132,Female,19.7,1.7,1,2005
225,Cm NME100109_132,Female,21.5,1.8,2,2006
226,Cm NME100109_132,Female,22.7,0.7,3,2007
227,Cm NME100109_132,Female,23.8,1.5,4,2008
228,Cm NME100109_132,Female,25.6,2,5,2009
229,Cm NME100109_139,Female,17.7,3.1,1,2005
230,Cm NME100109_139,Female,20.6,2.8,2,2006
231,Cm NME100109_139,Female,22.7,1.4,3,2007
232,Cm NME100109_139,Female,23.7,0.7,4,2008
233,Cm NME100109_139,Female,24.4,0.8,5,2009
234,Cm NME100109_150,Male,23.4,2.5,2,2007
235,Cm NME100109_150,Male,26.2,3,3,2008
236,Cm NME100109_150,Male,30.1,4.8,4,2009
237,Cm NME100109_156,Female,20.9,3,1,2009
238,Cm NME100110_001,Female,40.8,3.1,10,2004
239,Cm NME100110_001,Female,44.6,4.6,11,2005
240,Cm NME100110_001,Female,49.7,5.6,12,2006
241,Cm NME100110_001,Female,54.3,3.6,13,2007
242,Cm NME100110_001,Female,57.9,3.4,14,2008
243,Cm NME100110_001,Female,61.5,3.9,15,2009
244,Cm NME100110_002,Female,37.5,2.7,7,2005
245,Cm NME100110_002,Female,41,4.3,8,2006
246,Cm NME100110_002,Female,45.2,4.1,9,2007
247,Cm NME100110_002,Female,49.8,5.2,10,2008
248,Cm NME100110_002,Female,54.6,4.4,11,2009
249,Cm NME100110_003,Female,34.7,3,6,2004
250,Cm NME100110_003,Female,37.8,3.1,7,2005
251,Cm NME100110_003,Female,41.5,4.3,8,2006
252,Cm NME100110_003,Female,45.6,3.9,9,2007
253,Cm NME100110_003,Female,49.9,4.7,10,2008
254,Cm NME100110_003,Female,53.6,2.7,11,2009
255,Cm NME100110_008,Female,22.9,2.4,1,2005
256,Cm NME100110_008,Female,25,1.9,2,2006
257,Cm NME100110_008,Female,29.7,7.5,3,2007
258,Cm NME100110_008,Female,35.5,4.1,4,2008
259,Cm NME100110_008,Female,39.2,3.2,5,2009
260,Cm NME100110_010,Female,22.4,1.7,2,2005
261,Cm NME100110_010,Female,24.2,1.8,3,2006
262,Cm NME100110_010,Female,26.8,3.3,4,2007
263,Cm NME100110_010,Female,29.7,2.6,5,2008
264,Cm NME100110_010,Female,31.7,1.4,6,2009
265,Cm NME100110_013,Male,28.8,5,4,2008
266,Cm NME100110_013,Male,33.3,4,5,2009
267,Cm NME100110_016,Female,28.4,6.9,4,2006
268,Cm NME100110_016,Female,33.9,4.1,5,2007
269,Cm NME100110_016,Female,38,4.3,6,2008
270,Cm NME100110_016,Female,42.3,4.3,7,2009
271,Cm NME100110_021,Male,22.4,2.1,1,2005
272,Cm NME100110_021,Male,24.5,2,2,2006
273,Cm NME100110_021,Male,26.8,2.6,3,2007
274,Cm NME100110_021,Male,30.2,4.3,4,2008
275,Cm NME100110_021,Male,35.2,5.6,5,2009
276,Cm NME100110_025,Female,33.3,1.4,7,2004
277,Cm NME100110_025,Female,35.5,3,8,2005
278,Cm NME100110_025,Female,39.1,4.1,9,2006
279,Cm NME100110_025,Female,43,3.8,10,2007
280,Cm NME100110_025,Female,47,4.2,11,2008
281,Cm NME100110_025,Female,50.6,3,12,2009
282,Cm NME100110_028,Female,25.7,2.4,3,2008
283,Cm NME100110_028,Female,29.4,4.9,4,2009
284,Cm NME100110_029,Female,34.7,3.5,7,2005
285,Cm NME100110_029,Female,38.4,4,8,2006
286,Cm NME100110_029,Female,42.1,3.2,9,2007
287,Cm NME100110_029,Female,45.5,3.7,10,2008
288,Cm NME100110_029,Female,49.1,3.4,11,2009
289,Cm NME100110_031,Male,19,3.2,1,2007
290,Cm NME100110_031,Male,23,4.8,2,2008
291,Cm NME100110_031,Male,27.1,3.4,3,2009
292,Cm NME100110_032,Female,23.1,3.4,2,2007
293,Cm NME100110_032,Female,25.9,2.2,3,2008
294,Cm NME100110_032,Female,27.8,1.6,4,2009
295,Cm NME100110_034,Male,23.8,5.5,1,2007
296,Cm NME100110_034,Male,27.7,2.3,2,2008
297,Cm NME100110_034,Male,29.6,1.4,3,2009
298,Cm NME100110_039,Male,33.7,3.6,6,2005
299,Cm NME100110_039,Male,38.5,6.1,7,2006
300,Cm NME100110_039,Male,43.9,4.7,8,2007
301,Cm NME100110_039,Male,48.6,4.7,9,2008
302,Cm NME100110_039,Male,53,4.1,10,2009
303,Cm NME100110_041,Male,27.9,2.6,4,2006
304,Cm NME100110_041,Male,31.6,4.7,5,2007
305,Cm NME100110_041,Male,36.1,4.4,6,2008
306,Cm NME100110_041,Male,40.7,4.7,7,2009
307,Cm NME100110_044,Female,20.3,4.4,1,2004
308,Cm NME100110_044,Female,23.9,2.8,2,2005
309,Cm NME100110_044,Female,27.6,4.5,3,2006
310,Cm NME100110_044,Female,30.7,1.7,4,2007
311,Cm NME100110_044,Female,32.6,2.2,5,2008
312,Cm NME100110_044,Female,34.9,2.2,6,2009
313,Cm NME100110_050,Female,30.4,2.4,5,2005
314,Cm NME100110_050,Female,33.5,3.8,6,2006
315,Cm NME100110_050,Female,37.5,4.2,7,2007
316,Cm NME100110_050,Female,42,5,8,2008
317,Cm NME100110_050,Female,45.8,2.5,9,2009
318,Cm NME100110_051,Male,20.9,3.2,2,2006
319,Cm NME100110_051,Male,24.1,3.1,3,2007
320,Cm NME100110_051,Male,26.6,1.9,4,2008
321,Cm NME100110_051,Male,28.9,2.8,5,2009
322,Cm NME100110_053,Male,23.7,3.2,1,2005
323,Cm NME100110_053,Male,26.7,2.7,2,2006
324,Cm NME100110_053,Male,30,4,3,2007
325,Cm NME100110_053,Male,34,4,4,2008
326,Cm NME100110_053,Male,37.5,3.1,5,2009
327,Cm NME100110_054,Male,20.8,4.8,1,2008
328,Cm NME100110_054,Male,24.7,3.2,2,2009
329,Cm NME100110_057,Male,18.6,5.1,1,2009
330,Cm NME100110_077,Female,33.1,3.3,6,2004
331,Cm NME100110_077,Female,36.1,2.8,7,2005
332,Cm NME100110_077,Female,39.5,4.1,8,2006
333,Cm NME100110_077,Female,43.8,4.5,9,2007
334,Cm NME100110_077,Female,47.8,3.3,10,2008
335,Cm NME100110_077,Female,50.9,2.9,11,2009
336,Cm NME100111_003,Female,34.5,3,7,2005
337,Cm NME100111_003,Female,38.5,5,8,2006
338,Cm NME100111_003,Female,42.9,3.7,9,2007
339,Cm NME100111_003,Female,47.3,5.2,10,2008
340,Cm NME100111_003,Female,52.3,4.8,11,2009
341,Cm NME100111_029,Male,24.4,4.7,3,2006
342,Cm NME100111_029,Male,29.2,5,4,2007
343,Cm NME100111_029,Male,33.9,4.3,5,2008
344,Cm NME100111_029,Male,39,5.9,6,2009
345,Cm NME100111_031,Female,21.6,2,1,2006
346,Cm NME100111_031,Female,25.1,4.9,2,2007
347,Cm NME100111_031,Female,29.9,4.6,3,2008
348,Cm NME100111_031,Female,34.7,5,4,2009
349,Cm NME100111_035,Male,28.1,3.4,4,2006
350,Cm NME100111_035,Male,31.5,3.4,5,2007
351,Cm NME100111_035,Male,35.9,5.4,6,2008
352,Cm NME100111_035,Male,41.4,5.5,7,2009
353,Cm NME100111_038,Female,21.7,3.5,1,2009
354,Cm NME100111_039,Male,36.2,4.4,6,2005
355,Cm NME100111_039,Male,41.1,5.3,7,2006
356,Cm NME100111_039,Male,45.8,4.1,8,2007
357,Cm NME100111_039,Male,50.3,5,9,2008
358,Cm NME100111_039,Male,54.7,3.7,10,2009
359,Cm NME100111_041_2,Male,22.4,2,5,2006
360,Cm NME100111_041_2,Male,25.2,3.7,6,2007
361,Cm NME100111_041_2,Male,28.3,2.4,7,2008
362,Cm NME100111_041_2,Male,31.3,3.6,8,2009
363,Cm NME100111_042,Female,54,3.5,8,2004
364,Cm NME100111_042,Female,59,6.4,9,2005
365,Cm NME100111_042,Female,65.5,6.6,10,2006
366,Cm NME100111_042,Female,71.3,5.2,11,2007
367,Cm NME100111_042,Female,75.7,3.6,12,2008
368,Cm NME100111_042,Female,79.5,4.1,13,2009
369,Cm NME100111_042_2,Female,24.4,3.3,1,2006
370,Cm NME100111_042_2,Female,27.9,3.5,2,2007
371,Cm NME100111_042_2,Female,31.6,3.9,3,2008
372,Cm NME100111_042_2,Female,36.1,5.1,4,2009
373,Cm NME100111_043_2,Female,36.1,4,8,2005
374,Cm NME100111_043_2,Female,40.5,4.8,9,2006
375,Cm NME100111_043_2,Female,45.6,5.2,10,2007
376,Cm NME100111_043_2,Female,51,5.7,11,2008
377,Cm NME100111_043_2,Female,57.5,7.3,12,2009
378,Cm NME100111_043_FP,Female,32.1,2,5,2000
379,Cm NME100111_043_FP,Female,33.7,1.2,6,2001
380,Cm NME100111_043_FP,Female,35.9,3.2,7,2002
381,Cm NME100111_043_FP,Female,39.2,3.5,8,2003
382,Cm NME100111_043_FP,Female,43.1,4.1,9,2004
383,Cm NME100111_043_FP,Female,47.3,4.5,10,2005
384,Cm NME100111_043_FP,Female,51.5,3.8,11,2006
385,Cm NME100111_043_FP,Female,54.6,2.5,12,2007
386,Cm NME100111_043_FP,Female,57.1,2.5,13,2008
387,Cm NME100111_043_FP,Female,59.7,2.6,14,2009
388,Cm NME100111_045_2_FP,Male,32.6,2.4,7,2004
389,Cm NME100111_045_2_FP,Male,36.2,4.9,8,2005
390,Cm NME100111_045_2_FP,Male,40,2.7,9,2006
391,Cm NME100111_045_2_FP,Male,43.2,3.6,10,2007
392,Cm NME100111_045_2_FP,Male,46.8,3.7,11,2008
393,Cm NME100111_045_2_FP,Male,50.2,3.2,12,2009
394,Cm NME100111_058,Female,23.1,3.7,1,2007
395,Cm NME100111_058,Female,27.4,4.9,2,2008
396,Cm NME100111_058,Female,32.4,5.1,3,2009
397,Cm NME100111_062 ,Male,33.1,3.3,6,2004
398,Cm NME100111_062 ,Male,36.7,3.8,7,2005
399,Cm NME100111_062 ,Male,41,4.8,8,2006
400,Cm NME100111_062 ,Male,45,3.2,9,2007
401,Cm NME100111_062 ,Male,48.6,4,10,2008
402,Cm NME100111_062 ,Male,52.6,4.1,11,2009
403,Cm NME100111_065_FP,Female,34,3.9,6,2005
404,Cm NME100111_065_FP,Female,37.5,3.3,7,2006
405,Cm NME100111_065_FP,Female,40.7,3,8,2007
406,Cm NME100111_065_FP,Female,43.8,3.3,9,2008
407,Cm NME100111_065_FP,Female,47.3,3.6,10,2009
408,Cm NME100111_068,Male,27.1,1.1,4,2005
409,Cm NME100111_068,Male,29.2,3.2,5,2006
410,Cm NME100111_068,Male,33,4.4,6,2007
411,Cm NME100111_068,Male,37.5,4.6,7,2008
412,Cm NME100111_068,Male,42.1,4.6,8,2009
413,Cm NME100111_069_FP,Female,29.6,3.6,5,2004
414,Cm NME100111_069_FP,Female,32.6,2.5,6,2005
415,Cm NME100111_069_FP,Female,36.2,4.6,7,2006
416,Cm NME100111_069_FP,Female,40.5,3.9,8,2007
417,Cm NME100111_069_FP,Female,44.2,3.7,9,2008
418,Cm NME100111_069_FP,Female,47.3,2.4,10,2009
419,Cm NME100111_070,Male,30.9,1.8,5,2003
420,Cm NME100111_070,Male,33.4,3.2,6,2004
421,Cm NME100111_070,Male,36.8,3.6,7,2005
422,Cm NME100111_070,Male,40.7,4.1,8,2006
423,Cm NME100111_070,Male,44.8,4,9,2007
424,Cm NME100111_070,Male,49,4.4,10,2008
425,Cm NME100111_070,Male,53.4,4.5,11,2009
426,Cm NME100111_071,Female,34.8,2.1,7,2004
427,Cm NME100111_071,Female,37.9,4.1,8,2005
428,Cm NME100111_071,Female,42.2,4.5,9,2006
429,Cm NME100111_071,Female,47.1,5.3,10,2007
430,Cm NME100111_071,Female,51.4,3.4,11,2008
431,Cm NME100111_071,Female,55,3.9,12,2009
432,Cm NME100111_075,Male,27.5,3.4,4,2006
433,Cm NME100111_075,Male,30.7,3,5,2007
434,Cm NME100111_075,Male,34.5,4.6,6,2008
435,Cm NME100111_075,Male,39.6,5.7,7,2009
436,Cm NME100111_077,Female,29.7,2.1,5,2004
437,Cm NME100111_077,Female,32.2,2.9,6,2005
438,Cm NME100111_077,Female,35.9,4.5,7,2006
439,Cm NME100111_077,Female,40.4,4.4,8,2007
440,Cm NME100111_077,Female,44.6,4.1,9,2008
441,Cm NME100111_077,Female,48.1,2.8,10,2009
442,Cm NME100111_088,Female,31.8,3.6,7,2006
443,Cm NME100111_088,Female,34.9,2.8,8,2007
444,Cm NME100111_088,Female,36.7,0.9,9,2008
445,Cm NME100111_088,Female,37.8,1.2,10,2009
446,Cm NME100111_091,Male,29.5,2.5,5,2005
447,Cm NME100111_091,Male,33.1,4.8,6,2006
448,Cm NME100111_091,Male,37.9,4.7,7,2007
449,Cm NME100111_091,Male,42.7,4.9,8,2008
450,Cm NME100111_091,Male,47.3,4.4,9,2009
451,Cm NME100111_093,Male,33.3,2.5,7,2006
452,Cm NME100111_093,Male,37.1,5,8,2007
453,Cm NME100111_093,Male,42.3,5.3,9,2008
454,Cm NME100111_093,Male,46.9,3.9,10,2009
455,Cm NME100111_101,Female,30.7,5.4,5,2007
456,Cm NME100111_101,Female,35.1,3.4,6,2008
457,Cm NME100111_101,Female,39.1,4.6,7,2009
458,Cm NME100111_117,Male,40.2,2.3,9,2004
459,Cm NME100111_117,Male,42.5,2.5,10,2005
460,Cm NME100111_117,Male,45.7,3.8,11,2006
461,Cm NME100111_117,Male,49.5,3.9,12,2007
462,Cm NME100111_117,Male,52.5,2,13,2008
463,Cm NME100111_117,Male,55.2,3.4,14,2009
464,Cm NME100111_119,Female,38.7,5.5,8,2006
465,Cm NME100111_119,Female,43.4,3.8,9,2007
466,Cm NME100111_119,Female,47.5,4.4,10,2008
467,Cm NME100111_119,Female,51.6,4,11,2009
468,Cm NME100111_121 FP,Female,29,3,5,2004
469,Cm NME100111_121 FP,Female,31.8,2.6,6,2005
470,Cm NME100111_121 FP,Female,34.6,3.1,7,2006
471,Cm NME100111_121 FP,Female,37.8,3.2,8,2007
472,Cm NME100111_121 FP,Female,40.8,2.9,9,2008
473,Cm NME100111_121 FP,Female,43.6,2.7,10,2009
474,Cm NME100111_143,Male,22.1,2.7,1,2005
475,Cm NME100111_143,Male,24.8,2.7,2,2006
476,Cm NME100111_143,Male,27.4,2.6,3,2007
477,Cm NME100111_143,Male,29.2,1.1,4,2008
478,Cm NME100111_143,Male,30.1,0.7,5,2009
479,Cm NME100111_26,Male,20.6,5.4,1,2007
480,Cm NME100111_26,Male,24.6,2.7,2,2008
481,Cm NME100111_26,Male,27.4,2.9,3,2009
482,Cm NME100112_004_2 FP,Female,38.8,5.3,8,2002
483,Cm NME100112_004_2 FP,Female,42.1,1.3,9,2003
484,Cm NME100112_004_2 FP,Female,44.1,2.8,10,2004
485,Cm NME100112_004_2 FP,Female,47.6,4.1,11,2005
486,Cm NME100112_004_2 FP,Female,51.8,4.4,12,2006
487,Cm NME100112_004_2 FP,Female,55.9,3.8,13,2007
488,Cm NME100112_004_2 FP,Female,59.4,3.2,14,2008
489,Cm NME100112_004_2 FP,Female,62.5,2.9,15,2009
490,Cm NME100112_005,Female,35.7,1.4,8,2000
491,Cm NME100112_005,Female,37.1,1.3,9,2001
492,Cm NME100112_005,Female,39.6,3.8,10,2002
493,Cm NME100112_005,Female,42.8,2.5,11,2003
494,Cm NME100112_005,Female,46.3,4.7,12,2004
495,Cm NME100112_005,Female,50.9,4.5,13,2005
496,Cm NME100112_005,Female,55.7,5.1,14,2006
497,Cm NME100112_005,Female,60.1,3.7,15,2007
498,Cm NME100112_005,Female,63.7,3.5,16,2008
499,Cm NME100112_005,Female,66.2,1.6,17,2009
500,Cm NME100112_006,Female,36.6,1.5,8,2000
501,Cm NME100112_006,Female,38.6,2.6,9,2001
502,Cm NME100112_006,Female,42.2,4.6,10,2002
503,Cm NME100112_006,Female,46.7,4.4,11,2003
504,Cm NME100112_006,Female,50.7,3.7,12,2004
505,Cm NME100112_006,Female,54.6,4.1,13,2005
506,Cm NME100112_006,Female,58.7,4.1,14,2006
507,Cm NME100112_006,Female,62.6,3.7,15,2007
508,Cm NME100112_006,Female,66,3.2,16,2008
509,Cm NME100112_006,Female,68.9,2.6,17,2009
